id,genus,species,collector,number,addcoll,dups,majorarea,minorarea,locnotes,altitude,colldate,latitude,longitude,country,collcite,phenology
2077,Solanum,acaule,"Hunziker, AT",20938,,CORD,Catamarca,Ambato,Sierra de Ambato,3500 m,22-Feb-71,27°42'S,"65°55'60""W",Argentina,Hunziker,fl
2082,Solanum,acaule,"Sleumer, H",2689,,"K, LIL",Catamarca,Andalgalá,Capillitas,3000 m,02-Feb-52,27°21'S,66°22'W,Argentina,Sleumer,fl
2349,Solanum,acaule,"Cabrera, AL",7727,,"GH, LP",Jujuy,Cochinoca,Sierra de Cochinoca,NA,29-Jan-40,"22°43'60""S",65°54'W,Argentina,Cabrera,
2351,Solanum,acaule,"Clausen, AM",1254,"Carranza, AV; Stábile, A",BAL,Jujuy,Cochinoca,Abra Pampa,3662 m,01-Apr-01,"22°42'60""S",65°42'W,Argentina,Clausen et al.,fl
2332,Solanum,acaule,"Kurtz, F",11303,,"CORD, SUNIV",Jujuy,Cochinoca,Azul Pampa,3600 m,31-Dec-00,"22°57'42""S","65°26'17""W",Argentina,Kurtz,fl
2354,Solanum,acaule,"Meyer, T",21396,,LIL,Jujuy,Cochinoca,Abra Pampa,NA,06-Mar-60,"22°42'60""S",65°42'W,Argentina,Meyer,fr
2190,Solanum,acaule,"Okada, KA",7557,"García, O",PTIS,Jujuy,General Belgrano,Molinos,3200 m,03-Apr-83,"23°58'12""S","65°37'48""W",Argentina,Okada & García,fl
2195,Solanum,acaule,"Okada, KA",7564,"García, O",PTIS,Jujuy,General Belgrano,Tolara,3500 m,03-Apr-83,"23°54'60""S","65°37'60""W",Argentina,Okada & García,
2308,Solanum,acaule,"Negritto, M",355,"Barboza, GEE; Chiarini, F; Matesevach, M",CORD,Jujuy,Humahuaca,Jujuy,3500 m,07-Mar-02,"23°3'60""S","65°12'60""W",Argentina,Negritto et al.,fl
2285,Solanum,acaule,"Okada, KA",4458,,PTIS,Jujuy,Humahuaca,Palca de Aparzo,3800 m,07-Sep-83,23°6'S,"65°5'60""W",Argentina,Okada,fl
